,book_imbalance,mid_vwap,timestamp
0,-795.8119331151247,38041237.62314524,2022-06-07 10:39:16.072612
0,-795.9228563830256,38041236.5642448,2022-06-07 10:39:17.320155
0,-1312.2972380369902,38041242.8834257,2022-06-07 10:39:18.583554
0,-1658.0710749402642,38040380.11663311,2022-06-07 10:39:19.943123
0,-1658.0710749402642,38040380.11663311,2022-06-07 10:39:21.415199
0,-2709.631011389196,38041613.505590454,2022-06-07 10:39:22.713180
0,940.9030862301588,38033538.404445544,2022-06-07 10:39:24.055315
0,812.5613281205297,38044918.02570316,2022-06-07 10:39:25.474742
0,851.0682098343968,38051263.934447765,2022-06-07 10:39:26.846071
0,3329.462081335485,38054302.25128561,2022-06-07 10:39:28.089042
0,2208.1859764903784,38050549.27060993,2022-06-07 10:39:29.324138
0,588.9313495010138,38053304.69996708,2022-06-07 10:39:30.546701
0,3550.6839194744825,38065561.34392485,2022-06-07 10:39:31.855112
0,2178.678835205734,38067733.06910965,2022-06-07 10:39:33.117272
0,1349.1316075399518,38072678.27945854,2022-06-07 10:39:34.344572
0,2769.426965326071,38073336.71232845,2022-06-07 10:39:35.684378
0,-14.531141869723797,38069916.61162919,2022-06-07 10:39:36.932783
0,-3627.8594423532486,38059759.07626277,2022-06-07 10:39:38.163375
0,-3314.153841152787,38059878.39755392,2022-06-07 10:39:39.458437
0,-797.0166353583336,38057889.038541,2022-06-07 10:39:40.663010
0,-550.3258559778333,38057766.64268352,2022-06-07 10:39:41.933012
0,1468.500326268375,38062905.11546423,2022-06-07 10:39:43.232646
0,1614.6572423577309,38069218.30597621,2022-06-07 10:39:44.648085
0,1591.613600641489,38075406.84613103,2022-06-07 10:39:46.129414
0,479.7507285028696,38070498.66725844,2022-06-07 10:39:47.474007
0,-128.81956835091114,38067061.22214658,2022-06-07 10:39:48.935241
0,-489.32017466425896,38065707.3541076,2022-06-07 10:39:50.345226
0,38.01202993094921,38066017.16834532,2022-06-07 10:39:51.767798
0,932.611956499517,38066788.08393541,2022-06-07 10:39:53.028875
0,932.611956499517,38066788.08393541,2022-06-07 10:39:54.299627
0,932.611956499517,38066788.08393541,2022-06-07 10:39:55.521537
0,0.660199873149395,38074129.78797255,2022-06-07 10:39:56.793128
0,-386.64344595372677,38079565.256051235,2022-06-07 10:39:58.054005
0,-305.8311013504863,38075426.41025251,2022-06-07 10:39:59.311172
0,1621.3709785193205,38074303.72572963,2022-06-07 10:40:00.745653
0,1672.1150645464659,38069956.1825335,2022-06-07 10:40:02.084653
0,-855.3924573883414,38075012.93482264,2022-06-07 10:40:03.483296
0,-1614.6809362918139,38073834.2853834,2022-06-07 10:40:04.692949
0,-1786.3047051802278,38073740.10925859,2022-06-07 10:40:05.932088
0,-1729.445309855044,38071738.06703016,2022-06-07 10:40:07.231109
0,1303.5591976866126,38057202.4030239,2022-06-07 10:40:08.475807
0,-262.98231579363346,38059652.30663282,2022-06-07 10:40:09.741517
0,-945.1525099053979,38054428.5167359,2022-06-07 10:40:11.059932
0,-668.6119699925184,38053867.82645585,2022-06-07 10:40:12.523272
0,-386.52829157561064,38054878.22730174,2022-06-07 10:40:13.909035
0,-386.52829157561064,38054878.22730174,2022-06-07 10:40:15.108428
0,-386.52829157561064,38054878.22730174,2022-06-07 10:40:16.315753
0,-1257.3307071849704,38054463.18564126,2022-06-07 10:40:17.535600
0,-1104.074154742062,38054152.53783713,2022-06-07 10:40:18.774836
0,-1087.6695550084114,38054123.78682913,2022-06-07 10:40:20.068236
0,-1077.8072738870978,38054102.69450869,2022-06-07 10:40:21.402075
0,-1061.254762455821,38054066.829190195,2022-06-07 10:40:22.807072
0,-322.60895243287086,38054199.47551853,2022-06-07 10:40:24.242868
0,-1414.3205657228827,38053922.92486652,2022-06-07 10:40:25.655471
0,-1044.4275484532118,38054029.67233355,2022-06-07 10:40:27.028602
0,-1369.2149977460504,38053729.3250228,2022-06-07 10:40:28.272530
0,-1369.324475646019,38053729.55988152,2022-06-07 10:40:29.508043
0,937.2457595840096,38050134.6520382,2022-06-07 10:40:30.745920
0,-2397.5996815636754,38048663.88004906,2022-06-07 10:40:32.082606
0,-552.3496774062514,38044610.36167854,2022-06-07 10:40:33.307820
0,-4035.0404991954565,38044462.36292489,2022-06-07 10:40:34.497512
0,-2342.0080989673734,38040511.24602085,2022-06-07 10:40:35.936845
0,-2901.6542595922947,38040622.2592713,2022-06-07 10:40:37.305555
0,-2354.8520761355758,38038256.33262528,2022-06-07 10:40:38.771681
0,-194.96510913968086,38028441.62834598,2022-06-07 10:40:40.001603
0,991.7461840957403,38026816.32698168,2022-06-07 10:40:41.322009
0,416.6647880524397,38028695.107034,2022-06-07 10:40:42.623747
0,-655.0348735451698,38028867.201554626,2022-06-07 10:40:43.843734
0,-1265.1689262837172,38029673.43658823,2022-06-07 10:40:45.080142
0,83.25170304626226,38027718.168474585,2022-06-07 10:40:46.368446
0,-1312.6618210449815,38026662.78271809,2022-06-07 10:40:47.651254
0,-1377.2158615142107,38025674.03569451,2022-06-07 10:40:49.050866
0,-769.4256387129426,38023955.964777105,2022-06-07 10:40:50.514720
0,-3247.7058541327715,38025710.432191834,2022-06-07 10:40:51.986211
0,-574.0217641592026,38029968.21332301,2022-06-07 10:40:53.195876
0,-1270.954077720642,38029095.44940284,2022-06-07 10:40:54.479111
0,-193.96031256765127,38030684.315623984,2022-06-07 10:40:55.678484
0,-193.96031256765127,38030684.315623984,2022-06-07 10:40:56.946597
0,-2224.2501825988293,38028882.884013444,2022-06-07 10:40:58.310691
0,-1011.9350595399737,38028685.21145412,2022-06-07 10:40:59.599774
0,-426.82912377268076,38029569.523348354,2022-06-07 10:41:00.975193
0,-426.82912377268076,38029569.523348354,2022-06-07 10:41:02.392931
0,-430.047419719398,38030073.50811197,2022-06-07 10:41:03.697134
0,270.29266130924225,38029697.40160149,2022-06-07 10:41:05.020241
0,-767.9792526215315,38029955.756834954,2022-06-07 10:41:06.264658
0,-2149.849858313799,38027951.117484406,2022-06-07 10:41:07.558627
0,-4086.465079218149,38027701.14006825,2022-06-07 10:41:08.861642
0,-2222.6360084041953,38025490.058518425,2022-06-07 10:41:10.203402
0,-75.63799771666527,38026769.813740805,2022-06-07 10:41:11.433448
0,-904.505450733006,38027978.419977516,2022-06-07 10:41:12.738880
0,-512.9130856096745,38026470.28715611,2022-06-07 10:41:14.183735
0,-774.2380757182837,38025787.08406755,2022-06-07 10:41:15.576088
0,-2153.747842386365,38025275.74186198,2022-06-07 10:41:17.003520
0,-1269.3247098848224,38024064.53593053,2022-06-07 10:41:18.470953
0,622.892398506403,38037958.341858834,2022-06-07 10:41:19.870697
0,1117.3481836616993,38038631.58938749,2022-06-07 10:41:21.213973
0,1117.3481836616993,38038631.58938749,2022-06-07 10:41:22.409890
0,153.28491480648518,38024269.19355859,2022-06-07 10:41:23.675236
0,-2110.216789662838,38025039.76858728,2022-06-07 10:41:24.984937
0,-711.5539208650589,38026721.6412628,2022-06-07 10:41:26.319468
0,1398.7255293130875,38026886.202776685,2022-06-07 10:41:27.532575
0,1541.5110215470195,38027922.440726094,2022-06-07 10:41:28.818846
0,-113.39183233678341,38026676.04753526,2022-06-07 10:41:30.322224
0,228.41319954395294,38026324.83114259,2022-06-07 10:41:31.753542
0,-282.2357822135091,38029959.1615128,2022-06-07 10:41:33.217748
0,98.81332919746637,38031487.93601929,2022-06-07 10:41:34.690090
0,1963.3398868888617,38029569.15878311,2022-06-07 10:41:36.121084
0,-624.3124065622687,38037890.733570635,2022-06-07 10:41:37.591765
0,-1515.2914081588387,38037896.115997896,2022-06-07 10:41:39.010907
0,1008.2402295693755,38046053.22072536,2022-06-07 10:41:40.216914
0,-574.1931136250496,38054633.18434174,2022-06-07 10:41:41.522962
0,1623.3248624950647,38069350.00838752,2022-06-07 10:41:42.840922
0,4066.4481010213494,38075064.09883617,2022-06-07 10:41:44.137723
0,1084.1592050492764,38083241.00836024,2022-06-07 10:41:45.427189
0,820.4051610082388,38081780.90638849,2022-06-07 10:41:46.717990
0,1527.9120090901852,38079276.42834115,2022-06-07 10:41:48.009193
0,-539.0470906719565,38074791.37956915,2022-06-07 10:41:49.397499
0,-181.2050224840641,38074636.60926828,2022-06-07 10:41:50.741359
0,286.7779359295964,38078699.10329469,2022-06-07 10:41:51.940792
0,176.64172661304474,38077441.71309082,2022-06-07 10:41:53.240759
0,262.6453643962741,38080608.61439173,2022-06-07 10:41:54.601163
